Reserve,Taxon,Family,Scientific Name,Accepted Name,Common Name
Angelo Coast Range Reserve,Amphibian,Ambystomatidae,Ambystoma gracile,,Northwestern Salamander 
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Aneides ferreus,,Clouded salamander
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Aneides flavipunctatus,,Black salamander
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Aneides vagrans,,Wandering Salamander
Angelo Coast Range Reserve,Amphibian,Ascaphidae,Ascaphus truei,,Tailed frog
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Bactrachoseps attenuatus,,California slender salamander
Angelo Coast Range Reserve,Amphibian,Bufonidae,Bufo boreas,,Western toad
Angelo Coast Range Reserve,Amphibian,Dicamptodontidae,Dicamptodon ensatus,,Pacific giant salamander
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Ensatina eschsholtzi,,"Ensatina, Ensatina eschscholtzii"
Angelo Coast Range Reserve,Amphibian,Hylidae,Pseudacris regilla,,"Pacific Tree frog, Pacific Chorus Frog"
Angelo Coast Range Reserve,Amphibian,Ranidae,Rana boylei,,Foothill yellow-legged frog
Angelo Coast Range Reserve,Amphibian,Ranidae,Rana catesbiana,,"Bullfrog, American Bullfrog"
Angelo Coast Range Reserve,Amphibian,Rhyacotritonidae,Rhyacotriton olympicus,,Olympic salamander
Angelo Coast Range Reserve,Amphibian,Rhyacotritonidae,Rhyacotriton variegatus,,Southern Torrent Salamander
Angelo Coast Range Reserve,Amphibian,Salamandridae,Taricha granulose,,Rough skinned newt
Angelo Coast Range Reserve,Bird,, Sitta pygmaea,,Pygmy nuthatch 
Angelo Coast Range Reserve,Bird,, Sphyrapicus varius,,Yellow-bellied sapsucker 
Angelo Coast Range Reserve,Bird,,Accipiter cooperii,,Cooper's hawk
Angelo Coast Range Reserve,Bird,,Accipiter gentilis ,,Goshawk
Angelo Coast Range Reserve,Bird,,Accipiter striatus,,Sharp-shinned hawk
Angelo Coast Range Reserve,Bird,,Actitis macularia,,Spotted Sandpiper
Angelo Coast Range Reserve,Bird,,Aechmophorus occidentalis,,Western Grebe
Angelo Coast Range Reserve,Bird,,Aegolius acadicus,,Spotted Owl
Angelo Coast Range Reserve,Bird,,Agelaius phoeniceus ,,Red-winged Blackbird
Angelo Coast Range Reserve,Bird,,Aix sponsa,,Wood Duck
Angelo Coast Range Reserve,Bird,,Amphispiza belli,,Sage Sparrow
Angelo Coast Range Reserve,Bird,,Anas platyrhynchos ,,Mallard
Angelo Coast Range Reserve,Bird,,Anthus spinoletta,,Water pipit
Angelo Coast Range Reserve,Bird,,Aphelocoma coerulescens ,,Scrub Jay
Angelo Coast Range Reserve,Bird,,Aquila chrysaetos ,,Golden eagle
Angelo Coast Range Reserve,Bird,,Ardea herodias herodias,,Great Blue Heron
Angelo Coast Range Reserve,Bird,,Bombycilla cedrorum,,Cedar Waxwing
Angelo Coast Range Reserve,Bird,,Branta canadensis,,Canada Goose
Angelo Coast Range Reserve,Bird,,Bubo virginianus,,Great Horned Owl
Angelo Coast Range Reserve,Bird,,Buteo jamaicensis,,Red-tailed hawk
Angelo Coast Range Reserve,Bird,,Buteo lineatus,,Red-shouldered hawk
Angelo Coast Range Reserve,Bird,,Butorides virescens,,Green Heron
Angelo Coast Range Reserve,Bird,,Callipepla californica,,California Quail
Angelo Coast Range Reserve,Bird,,Calypte anna ,,Anna's Hummingbird
Angelo Coast Range Reserve,Bird,,Carduelis pinus,,Pine Siskin
Angelo Coast Range Reserve,Bird,,Carduelis psaltria,,Lesser Goldfinch
Angelo Coast Range Reserve,Bird,,Carduelis tristis,,American Goldfinch
Angelo Coast Range Reserve,Bird,,Carpodacus mexicanus ,,House Finch
Angelo Coast Range Reserve,Bird,,Carpodacus purpureus ,,Purple Finch
Angelo Coast Range Reserve,Bird,,Cathartes aura,,Turkey Vulture
Angelo Coast Range Reserve,Bird,,Catharus guttatus ,,Hermit Thrush
Angelo Coast Range Reserve,Bird,,Catharus ustulatus,,Swainson's thrush
Angelo Coast Range Reserve,Bird,,Certhia americana,,Brown Creeper
Angelo Coast Range Reserve,Bird,,Ceryle alcyon,,Belted Kingfisher
Angelo Coast Range Reserve,Bird,,Chaetura vauxi ,,Vaux's swift
Angelo Coast Range Reserve,Bird,,Chamaea fasciata,,Wrentit
Angelo Coast Range Reserve,Bird,,Charadrius vociferus,,Killdeer
Angelo Coast Range Reserve,Bird,,Chordeiles minor,,Common Nighthawk
Angelo Coast Range Reserve,Bird,,Cinclus,,Dipper
Angelo Coast Range Reserve,Bird,,Colaptes auratus ,,Yellow-shafted Flicker
Angelo Coast Range Reserve,Bird,,Colaptes auratus cafer ,,Red-shafted Flicker
Angelo Coast Range Reserve,Bird,,Columba fasciata,,Band-tailed Pigeon
Angelo Coast Range Reserve,Bird,,Contopus cooperi,,Olive-sided Flycatcher
Angelo Coast Range Reserve,Bird,,Contopus sordidulus,,Western Wood Peewee
Angelo Coast Range Reserve,Bird,,Corvus brachyrhynchos,,Common Crow
Angelo Coast Range Reserve,Bird,,Corvus corax ,,Common Raven
Angelo Coast Range Reserve,Bird,,Cyanocitta stelleri ,,Steller's Jay
Angelo Coast Range Reserve,Bird,,Dendrogapus obscurus,,Blue Grouse
Angelo Coast Range Reserve,Bird,,Dendroica coronata (Eastern form),,Myrtle Warbler
Angelo Coast Range Reserve,Bird,,Dendroica coronata (Western form),,Audubon's Warbler
Angelo Coast Range Reserve,Bird,,Dendroica nigrescens ,,Black throated Gray Warbler
Angelo Coast Range Reserve,Bird,,Dendroica occidentalis,,Hermit Warbler
Angelo Coast Range Reserve,Bird,,Dendroica petechia ,,Yellow Warbler
Angelo Coast Range Reserve,Bird,,Dendroica townsendi ,,Townsend's Warbler
Angelo Coast Range Reserve,Bird,,Dryocopus pileatus,,Pileated Woodpecker
Angelo Coast Range Reserve,Bird,,Elanus leucurus ,,White-tailed Kite
Angelo Coast Range Reserve,Bird,,Empidonax difficilis ,,Western Flycatcher
Angelo Coast Range Reserve,Bird,,Euphagus cyanocephalus,,Brewer's Blackbird
Angelo Coast Range Reserve,Bird,,Falco peregrinus,,Peregrine Falcon
Angelo Coast Range Reserve,Bird,,Falco sparverius,,American Kestrel
Angelo Coast Range Reserve,Bird,,Gallinago gallinago,,Common Snipe
Angelo Coast Range Reserve,Bird,,Glaucidium gnoma ,,Pygmy Owl
Angelo Coast Range Reserve,Bird,,Guiraca caerulea ,,Blue Grosbeak
Angelo Coast Range Reserve,Bird,,Haliaeetus leucocephalus,,Bald eagle
Angelo Coast Range Reserve,Bird,,Hirundo rustica,,Barn Swallow
Angelo Coast Range Reserve,Bird,,Icterus galbula,,Northern Oriole
Angelo Coast Range Reserve,Bird,,Ixoreus naevius ,,Varied Thrush
Angelo Coast Range Reserve,Bird,,Junco hyemalis,,"Dark-eyed ""Oregon"" Junco"
Angelo Coast Range Reserve,Bird,,Lanius ludovicianus,,Loggerhead shrike 
Angelo Coast Range Reserve,Bird,,Larus californicus,,California Gull
Angelo Coast Range Reserve,Bird,,Lophodytes cucullatus,,Hooded Merganser
Angelo Coast Range Reserve,Bird,,Melanerpes formicivorus ,,Acorn Woodpecker
Angelo Coast Range Reserve,Bird,,Melanerpes lewis ,,Lewis' Woodpecker
Angelo Coast Range Reserve,Bird,,Melospiza melodia,,Song Sparrow
Angelo Coast Range Reserve,Bird,,Mergus merganser ,,Common merganser
Angelo Coast Range Reserve,Bird,,Mimus sp.,,Mockingbird
Angelo Coast Range Reserve,Bird,,Molothrus ater,,Brown-headed cowbird
Angelo Coast Range Reserve,Bird,,Myiarchus cinerascens ,,Ash-throated Flycatcher
Angelo Coast Range Reserve,Bird,,Oporornis tolmiei,,MacGillivray's Warbler
Angelo Coast Range Reserve,Bird,,Oreortyx picta,,Mountain Quail
Angelo Coast Range Reserve,Bird,,Otus kennicottii ,,Screech Owl
Angelo Coast Range Reserve,Bird,,Pandion haliaetus,,Osprey
Angelo Coast Range Reserve,Bird,,Parus inornatus,,Plain Titmouse
Angelo Coast Range Reserve,Bird,,Parus rufescens,,Chestnut-backed Chickadee
Angelo Coast Range Reserve,Bird,,Passerculus sandwichensis,,Savannah Sparrow
Angelo Coast Range Reserve,Bird,,Passerella iliaca,,Fox Sparrow
Angelo Coast Range Reserve,Bird,,Passerina amoena ,,Lazuli Bunting
Angelo Coast Range Reserve,Bird,,Phalacrocorax auritus,,Double-crested cormorant
Angelo Coast Range Reserve,Bird,,Phalaenoptilus nuttallii ,,Poorwill
Angelo Coast Range Reserve,Bird,,Phasianus colchicus ,,Ring-necked Pheasant
Angelo Coast Range Reserve,Bird,,Pheucticus melanocephalus,,Black-headed Grosbeak
Angelo Coast Range Reserve,Bird,,Picoides pubescens,,Downy Woodpecker
Angelo Coast Range Reserve,Bird,,Picoides villosus ,,Hairy Woodpecker
Angelo Coast Range Reserve,Bird,,Pipilo erythrophthalmus,,Rufous-sided Towhee
Angelo Coast Range Reserve,Bird,,Pipilo fuscus,,Brown Towhee
Angelo Coast Range Reserve,Bird,,Piranga ludoviciana,,Western Tanager
Angelo Coast Range Reserve,Bird,,Poecile atricapillus,, Black-capped chickadee
Angelo Coast Range Reserve,Bird,,Pooecetes gramineus,,Vesper Sparrow
Angelo Coast Range Reserve,Bird,,Psaltriparus minimus,,Bushtit
Angelo Coast Range Reserve,Bird,,Regulus calendula,,Ruby-crowned Kinglet
Angelo Coast Range Reserve,Bird,,Regulus satrapa ,,Golden-crowned Kinglet
Angelo Coast Range Reserve,Bird,,Sayornis nigricans ,,Black Phoebe
Angelo Coast Range Reserve,Bird,,Selasphorus rufus,,Rufous Hummingbird
Angelo Coast Range Reserve,Bird,,Selasphorus sasin ,,Allen's Hummingbird
Angelo Coast Range Reserve,Bird,,Sialia mexicana,,Western Bluebird
Angelo Coast Range Reserve,Bird,,Sitta canadensis,,Red-breasted Nuthatch
Angelo Coast Range Reserve,Bird,,Sitta carolinensis,,White-breasted nuthatch
Angelo Coast Range Reserve,Bird,,Sphyrapicus ruber ,,Red-breasted Sapsucker
Angelo Coast Range Reserve,Bird,,Spizella passerina,,Chipping Sparrow
Angelo Coast Range Reserve,Bird,,Stelgidopteryx ,,Rough-winged Swallow
Angelo Coast Range Reserve,Bird,,Strix occidentalis caurina,,Saw-whet Owl
Angelo Coast Range Reserve,Bird,,Sturnella neglecta,,Western Meadowlark
Angelo Coast Range Reserve,Bird,,Sturnus vulgaris,,European Starling
Angelo Coast Range Reserve,Bird,,Tachycineta thalassina ,,Violet-green Swallow
Angelo Coast Range Reserve,Bird,,Thryomanes bewickii,,Bewick's Wren
Angelo Coast Range Reserve,Bird,,Toxostoma redivivum,,California Thrasher
Angelo Coast Range Reserve,Bird,,Troglodytes troglodytes,,Winter Wren
Angelo Coast Range Reserve,Bird,,Turdus migratorius ,,American Robin
Angelo Coast Range Reserve,Bird,,Tyrannus verticalis,,Western Kingbird
Angelo Coast Range Reserve,Bird,,Tyto alba,,Barn Owl
Angelo Coast Range Reserve,Bird,,Vermivora celata,,Orange-crowned Warbler
Angelo Coast Range Reserve,Bird,,Vermivora ruficapilla ,,Nashville Warbler
Angelo Coast Range Reserve,Bird,,Vireo gilvus,,Warbling Vireo
Angelo Coast Range Reserve,Bird,,Vireo huttoni ,,Hutton's Vireo
Angelo Coast Range Reserve,Bird,,Vireo solitarius ,,Solitary Vireo
Angelo Coast Range Reserve,Bird,,Zenaida macroura,,Mourning Dove
Angelo Coast Range Reserve,Bird,,Zonotrichia albicollis,,White-throated Sparrow
Angelo Coast Range Reserve,Bird,,Zonotrichia atricapilla,,Golden-crowned Sparrow
Angelo Coast Range Reserve,Bird,,Zonotrichia leucophrys,,White-crowned Sparrow
Angelo Coast Range Reserve,Fish,,Catostomus occidentalis,,California sucker
Angelo Coast Range Reserve,Fish,,Gasterosteus aculeatus,,Threespine stickleback
Angelo Coast Range Reserve,Fish,,Hesperoleucas (Lavinia) symmetricus,,California roach 
Angelo Coast Range Reserve,Fish,,Ictalurus nebulosus,,Black bullhead
Angelo Coast Range Reserve,Fish,,Lampetra tridentate,,Pacific Lamprey
Angelo Coast Range Reserve,Fish,,Lepomis cyanellus,,Green sunfish
Angelo Coast Range Reserve,Fish,,Micropterus salmoides,,Large-mouthed bass
Angelo Coast Range Reserve,Fish,,O. kisutch,,Coho salmon
Angelo Coast Range Reserve,Fish,,O. tshawytscha,,Chinook salmon
Angelo Coast Range Reserve,Fish,,Oncorhynchus mykiss,,Rainbow trout or steelhead
Angelo Coast Range Reserve,Fish,,Ptychocheilus grandis,,"Pikeminnow, squawfish"
Angelo Coast Range Reserve,Insect,Notodontidae,  Nadata gibbosa ,,
Angelo Coast Range Reserve,Insect,Noctuidae,  Protorthodes alfkeni ,,
Angelo Coast Range Reserve,Insect, Psephenidae, Acneus quadrimaculatus,,Water Penny beetle
Angelo Coast Range Reserve,Insect,Noctuidae, Acronicta funeralis,,Funerary Dagger Moth 
Angelo Coast Range Reserve,Insect,Noctuidae, Acronicta marmorata,,Marble Dagger Moth 
Angelo Coast Range Reserve,Insect,Noctuidae, Acronicta perdita ,,
Angelo Coast Range Reserve,Insect,Adelidae, Adela thorpella,,
Angelo Coast Range Reserve,Insect,Adelidae, Adela trigrapha,,
Angelo Coast Range Reserve,Insect,Heliodinidae, Aetole extraneella ,,
Angelo Coast Range Reserve,Insect,Tortricidae, Ancylis mediofasciana ,,
Angelo Coast Range Reserve,Insect,Cynipidae, Andricus lasius ,,Hairy Gall Wasp 
Angelo Coast Range Reserve,Insect,Cynipidae, Andricus spectabilis ,,Tapered Stem Gall Wasp 
Angelo Coast Range Reserve,Insect,Noctuidae, Apamea cuculliformis ,,
Angelo Coast Range Reserve,Insect,Tortricidae, Archips argyrospila,,Fruit-Tree Leafroller Moth
Angelo Coast Range Reserve,Insect,Argyresthiidae, Argyresthia sp. ,,
Angelo Coast Range Reserve,Insect,Noctuidae, Aseptis fumeola Hampson,,
Angelo Coast Range Reserve,Insect,Noctuidae, Autographa californica,,Alfalfa Looper Moth
Angelo Coast Range Reserve,Insect,Cynipidae, Callirhytis flora,,Live Oak Petiole Gall Wasp
Angelo Coast Range Reserve,Insect,Cynipidae, Callirhytis quercuspomiformis ,,Live Oak Gallfly 
Angelo Coast Range Reserve,Insect,Gracillariidae, Caloptilia reticulata ,,
Angelo Coast Range Reserve,Insect,Gracillariidae, Caloptilia sp. ,,
Angelo Coast Range Reserve,Insect,Gracillariidae, Cameraria marinensis,,
Angelo Coast Range Reserve,Insect,Gelechiidae, Chionodes abella ,,
Angelo Coast Range Reserve,Insect,Elmidae, Cleptelmis addenda ,,Riffle Beetle? 
Angelo Coast Range Reserve,Insect,Satyridae, Coenonympha californica,,California Ringlet 
Angelo Coast Range Reserve,Insect,Coleophoridae, Coleophora glaucella ,,
Angelo Coast Range Reserve,Insect,Gelechiidae, Coleotechnites coniferella ,,
Angelo Coast Range Reserve,Insect,Pieridae, Colias eurytheme ,,Orange Sulphur
Angelo Coast Range Reserve,Insect,Pyralidae, Dioryctria sp. ,,
Angelo Coast Range Reserve,Insect,Geometridae, Drepanulatrix carnearia ,,
Angelo Coast Range Reserve,Insect,Geometridae, Drepanulatrix foeminaria,,
Angelo Coast Range Reserve,Insect,Geometridae, Drepanulatrix monicaria ,,
Angelo Coast Range Reserve,Insect,Noctuidae, Egira perlubens ,,Brown Woodling Moth
Angelo Coast Range Reserve,Insect,Noctuidae, Egira simplex ,,
Angelo Coast Range Reserve,Insect, Elachistidae, Elachista sp. ,,
Angelo Coast Range Reserve,Insect,Tortricidae, Endothenia rubipunctana ,,
Angelo Coast Range Reserve,Insect,Tortricidae, Epinotia albangulana ,,
Angelo Coast Range Reserve,Insect,Eriocraniidae, Eriocraniella aurosparsella ,,
Angelo Coast Range Reserve,Insect,Hesperiidae, Erynnis propertius,,Propertius Duskywing
Angelo Coast Range Reserve,Insect,Nymphalidae, Euphydryas chalcedona,,Variable Checkerspot Butterfly 
Angelo Coast Range Reserve,Insect,Geometridae, Eupithecia graefii ,,
Angelo Coast Range Reserve,Insect,Geometridae, Eupithecia nevadata,,
Angelo Coast Range Reserve,Insect,Gelechiidae, Gelechia panella ,,
Angelo Coast Range Reserve,Insect,Prodoxidae, Greya politella ,,
Angelo Coast Range Reserve,Insect,Dryopidae, Helichus columbianus,,Aquatic beetle?
Angelo Coast Range Reserve,Insect,Noctuidae, Heliolonche modicella,,Heliothine Moth
Angelo Coast Range Reserve,Insect,Cynipidae, Heteroecus flavens  ,,Round Leaf Gall Wasp 
Angelo Coast Range Reserve,Insect,Cynipidae, Heteroecus pacificus,,Beaked Spindle Gall Wasp
Angelo Coast Range Reserve,Insect,Cynipidae, Heteroecus sp,,Hair Capsule Gall Wasp 
Angelo Coast Range Reserve,Insect,Geometridae, Hydriomena crokeri comstocki ,,
Angelo Coast Range Reserve,Insect,Geometridae, Hydriomena manzanita,,
Angelo Coast Range Reserve,Insect,Blastobasidae, Hypatopa sp.,,
Angelo Coast Range Reserve,Insect,Lycaenidae, Icaricia acmon ,,
Angelo Coast Range Reserve,Insect,Noctuidae, Lacinipolia cuneata,,Cuneate Arches Moth
Angelo Coast Range Reserve,Insect,Noctuidae, Lacinipolia patalis,,
Angelo Coast Range Reserve,Insect,Noctuidae, Lacinipolia quadrilineata ,,
Angelo Coast Range Reserve,Insect,Noctuidae, Leucania insueta ,,
Angelo Coast Range Reserve,Insect,Noctuidae, Leucania oregona ,,
Angelo Coast Range Reserve,Insect, Copromorphidae, Lotisma trigonana ,,
Angelo Coast Range Reserve,Insect,Pyralidae, Mecyna mustelinalis ,,
Angelo Coast Range Reserve,Insect,Geometridae, Melanolophia imitata,,
Angelo Coast Range Reserve,Insect,Gelechiidae, Monochroa placidella ,,
Angelo Coast Range Reserve,Insect,Tineidae, Nemapogon granella ,,
Angelo Coast Range Reserve,Insect,Geometridae, Nepytia umbrosaria,,
Angelo Coast Range Reserve,Insect,Elmidae, Optioservus quadrimaculatus/seriatus,,Aquatic beetle?
Angelo Coast Range Reserve,Insect,Elmidae, Ordobrevia nubifera ,,Aquatic beetle?
Angelo Coast Range Reserve,Insect,Noctuidae, Orthosia transparens,,
Angelo Coast Range Reserve,Insect,Noctuidae, Panthea portlandia ,,
Angelo Coast Range Reserve,Insect,Noctuidae, Peridroma saucia,,Pearly Underwing 
Angelo Coast Range Reserve,Insect,Geometridae, Perizoma sp. ,,
Angelo Coast Range Reserve,Insect,Geometridae, Pero macdunnoughi ,,
Angelo Coast Range Reserve,Insect,Geometridae, Pero occidentalis ,,
Angelo Coast Range Reserve,Insect,Notodontidae, Phryganidia californica,,California Oak Moth 
Angelo Coast Range Reserve,Insect,Nymphalidae, Phyciodes mylitta,,Mylitta Crescent 
Angelo Coast Range Reserve,Insect,Lasiocampidae, Phyllodesma americana,,
Angelo Coast Range Reserve,Insect,Hepialidae, Phymatopus hectoides ,,
Angelo Coast Range Reserve,Insect,Lucanidae, Platyceroides agassii Essig,,
Angelo Coast Range Reserve,Insect,Noctuidae, Pleromella opter ,,
Angelo Coast Range Reserve,Insect,Formicidae, Prenolepis imparis,,Ant
Angelo Coast Range Reserve,Insect,Sphingidae, Proserpinus clarkiae ,,
Angelo Coast Range Reserve,Insect,Tortricidae, Pseudexentera habrosana ,,
Angelo Coast Range Reserve,Insect,Crambidae, Pyrausta fodinalis ,,
Angelo Coast Range Reserve,Insect,Crambidae, Pyrausta nexalis ,,
Angelo Coast Range Reserve,Insect,Sphingidae, Smerinthus cerisyi ,,Cerisy Sphinx Moth
Angelo Coast Range Reserve,Insect,Arctiidae, Spilosoma vagans,,Wandering Tiger Moth 
Angelo Coast Range Reserve,Insect,Nepticulidae, Stigmella heteromelis ,,
Angelo Coast Range Reserve,Insect,Gelechiidae, Syncopacma sp. ,,
Angelo Coast Range Reserve,Insect,Tischeriidae, Tischeria ceanothi,,
Angelo Coast Range Reserve,Insect,Cynipidae, Trichoteras vacciniifoliae  ,,Oak Apple Wasp 
Angelo Coast Range Reserve,Insect,Prodoxidae, Tridentaforma sp. ,,
Angelo Coast Range Reserve,Insect,Geometridae, Venusia duodecemlineata ,,
Angelo Coast Range Reserve,Insect,Noctuidae, Zale lunata ,,
Angelo Coast Range Reserve,Insect,Adelidae,Adela flammeusella ,,
Angelo Coast Range Reserve,Insect,Nymphalidae,Adelpha bredowii ,,California Sister 
Angelo Coast Range Reserve,Insect,Geometridae,Aethaloida packardaria ,,
Angelo Coast Range Reserve,Insect,Alucitidae,Alucita montana,,
Angelo Coast Range Reserve,Insect,Carabidae,Amara sp. ,,
Angelo Coast Range Reserve,Insect,Tortricidae,Amorbia cuneana ,,
Angelo Coast Range Reserve,Insect,Byrrhidae,Amphicyrta dentipes,,Pill Beetle?
Angelo Coast Range Reserve,Insect,Carabidae,Anchomenus Anchomenus,,
Angelo Coast Range Reserve,Insect,Cynipidae,Andricus reniformis    ,,Kidney Stem Gall Wasp
Angelo Coast Range Reserve,Insect,Carabidae,Anisodactylus sp. ,,
Angelo Coast Range Reserve,Insect,Noctuidae,Annaphila miona ,,
Angelo Coast Range Reserve,Insect,Pterophoridae,Anstenoptilia marmarodactyla ,,
Angelo Coast Range Reserve,Insect,Noctuidae,Apamea cinefacta ,,
Angelo Coast Range Reserve,Insect,Arctiidae,Apantesis ornata,,Ornate Tiger Moth
Angelo Coast Range Reserve,Insect,Formicidae,Aphaenogaster occidentalis,,Ant
Angelo Coast Range Reserve,Insect,Gelechiidae,Aristotelia sp. ,,
Angelo Coast Range Reserve,Insect,Noctuidae,Aseptis binotata ,,Rusty Shoulder Knot Moth
Angelo Coast Range Reserve,Insect,Cecidomyiidae,Asphondylia sp.,,Vein Gall Midge
Angelo Coast Range Reserve,Insect,Noctuidae,Axenus arvalis ,,
Angelo Coast Range Reserve,Insect,Carabidae,Bembidion sp. A ,,
Angelo Coast Range Reserve,Insect,Carabidae,Bembidion sp. B,,
Angelo Coast Range Reserve,Insect,Carabidae,Bembidion sp. C ,,
Angelo Coast Range Reserve,Insect,Carabidae,Bembidion sp. D ,,
Angelo Coast Range Reserve,Insect,Carabidae,Bembidion sp. E ,,
Angelo Coast Range Reserve,Insect,Carabidae,Bembidion sp. F ,,
Angelo Coast Range Reserve,Insect,Carabidae,Bembidion sp. G ,,
Angelo Coast Range Reserve,Insect,Carabidae,Brachinus sp. ,,
Angelo Coast Range Reserve,Insect,Carabidae,Bradycellus sp.,,
Angelo Coast Range Reserve,Insect,Bucculatricidae,Bucculatrix sp. ,,
Angelo Coast Range Reserve,Insect,Noctuidae,Caenurgina caerulea ,,Cerulean Looper Moth
Angelo Coast Range Reserve,Insect,Gracillariidae,Cameraria nemoris ,,
Angelo Coast Range Reserve,Insect,Formicidae,Camponotus vicinus ,,Ant
Angelo Coast Range Reserve,Insect,Cantharidae,Cantharis sp. A ,,
Angelo Coast Range Reserve,Insect,Cantharidae,Cantharis sp. B,,
Angelo Coast Range Reserve,Insect,Pterophoridae,Capperia ningoris,,
Angelo Coast Range Reserve,Insect,Noctuidae,Catabena lineolata ,,
Angelo Coast Range Reserve,Insect, Lycaenidae,Celastrina ladon,,Spring Azure
Angelo Coast Range Reserve,Insect,Tortricidae,Choristoneura carnana californica,,
Angelo Coast Range Reserve,Insect,Gelechiidae,Coleotechnites sp. ,,
Angelo Coast Range Reserve,Insect,Scarabaeidae,Cremastocheilus sp.,,
Angelo Coast Range Reserve,Insect,Formicidae,Crematogaster coarctata ,,Ant
Angelo Coast Range Reserve,Insect,Cecidomyiidae,Dasineura sp.,,Alder Fold Gall Midge 
Angelo Coast Range Reserve,Insect,Tortricidae,Decodes johnstoni ,,
Angelo Coast Range Reserve,Insect,Crambidae,Diastictis caecalis ,,
Angelo Coast Range Reserve,Insect,Scarabaeidae,Dichelonyx sp. A,,
Angelo Coast Range Reserve,Insect,Scarabaeidae,Dichelonyx sp. B,,
Angelo Coast Range Reserve,Insect,Cynipidae,Diplolepis sp. ,,Rose Gall Wasp
Angelo Coast Range Reserve,Insect,Drepanidae,Drepana arcuata ,,
Angelo Coast Range Reserve,Insect,Geometridae,Drepanulatrix unicalcararia ,,
Angelo Coast Range Reserve,Insect,Cynipidae,Dryocosmus asymmetricus,,Split Twig Gall Wasp 
Angelo Coast Range Reserve,Insect,Carabidae,Dyschirius sp. A ,,
Angelo Coast Range Reserve,Insect,Carabidae,Dyschirius sp. B,,
Angelo Coast Range Reserve,Insect,Carabidae,Elaphrus sp.,,
Angelo Coast Range Reserve,Insect,Geometridae,Enypia griseata,,
Angelo Coast Range Reserve,Insect,Tortricidae,Epinotia emarginana ,,
Angelo Coast Range Reserve,Insect,Tortricidae,Epinotia radicana ,,
Angelo Coast Range Reserve,Insect,Tortricidae,Epinotia subplicana,,
Angelo Coast Range Reserve,Insect,Eriocraniidae,Eriocraniella xanthocara ,,
Angelo Coast Range Reserve,Insect,Psephenidae,Eubrianax edwardsii ,,Water Penny beetle
Angelo Coast Range Reserve,Insect,Geometridae,Eudrepanulatrix rectifascia,,
Angelo Coast Range Reserve,Insect,Geometridae,Eupithecia misturata,,
Angelo Coast Range Reserve,Insect,Geometridae,Eupithecia multiscripta,,
Angelo Coast Range Reserve,Insect,Geometridae,Eupithecia segregata ,,
Angelo Coast Range Reserve,Insect,Formicidae,Formica accreta ,,Ant
Angelo Coast Range Reserve,Insect,Formicidae,Formica neogagates,,Ant
Angelo Coast Range Reserve,Insect,Formicidae,Formica subpolita,,Ant
Angelo Coast Range Reserve,Insect,Notodontidae,Furcula scolopendrina ,, Zigzag Furcula Moth 
Angelo Coast Range Reserve,Insect,Prodoxidae,Greya solenobiella,,
Angelo Coast Range Reserve,Insect,Noctuidae,Heliothodes diminutivus ,,Small Heliothodes Moth
Angelo Coast Range Reserve,Insect,Tortricidae,Henricus umbrabasana ,,
Angelo Coast Range Reserve,Insect,Cynipidae,Heteroecus melanoderma,,Golden Gall Wasp 
Angelo Coast Range Reserve,Insect,Cynipidae,Heteroecus sanctaeclarae,,Mushroom Gall Wasp 
Angelo Coast Range Reserve,Insect,Scarabaeidae,Hoplia callipyge ,,
Angelo Coast Range Reserve,Insect,Saturniidae,Hyalophora euryalus ,,
Angelo Coast Range Reserve,Insect,Geometridae,Hydriomena glaucata,,
Angelo Coast Range Reserve,Insect,Geometridae,Hydriomena marinata ,,
Angelo Coast Range Reserve,Insect, Sphingidae,Hyles lineata,,Whitelined Sphinx Moth
Angelo Coast Range Reserve,Insect,Nymphalidae,Junonia coenia   ,,Common Buckeye Butterfly 
Angelo Coast Range Reserve,Insect,Carabidae,Lachnophorus elegantulus,,
Angelo Coast Range Reserve,Insect,Elmidae,Lara avara ,,North American wood-eating beetle lara avara 
Angelo Coast Range Reserve,Insect,Formicidae,Lasius pallitarsis,,Ant
Angelo Coast Range Reserve,Insect,Lucanidae,Leiodes sp.,,
Angelo Coast Range Reserve,Insect,Lucanidae,Lucidota fenestralis ,,
Angelo Coast Range Reserve,Insect,Gracillariidae,Marmara sp. ,,
Angelo Coast Range Reserve,Insect,Formicidae,Messor andrei andrei ,,Ant
Angelo Coast Range Reserve,Insect,Carabidae,Metrius contractus,,
Angelo Coast Range Reserve,Insect,Pyralidae,Microtheoris ophionalis ,,
Angelo Coast Range Reserve,Insect,Momphidae,Mompha sp.,,
Angelo Coast Range Reserve,Insect,Elmidae,Narpus angustus ,,Aquatic beetle?
Angelo Coast Range Reserve,Insect,Carabidae,Nebria eschscholtzii,,
Angelo Coast Range Reserve,Insect,Geometridae,Nemoria darwiniata,,
Angelo Coast Range Reserve,Insect,Geometridae,Neoalcis californiaria,,
Angelo Coast Range Reserve,Insect,Carabidae,Notiophilus sylvaticus ,,
Angelo Coast Range Reserve,Insect,Pterophoridae,Oidaematophorus sp. ,,
