Ribes malvaceum var. malvaceum
Ribes menziesii var. ixoderme
Ribes nevadense
Ribes quercetorum
Ribes roezlii var. roezlii
Najas marina
Hypericum scouleri
Sisyrinchium bellum
Sisyrinchium halophilum
Sisyrinchium idahoense var. occidentale
Juglans regia
Juncus balticus subsp. ater
Juncus bufonius var. bufonius
Juncus bufonius var. congestus
Juncus bufonius var. occidentalis
Juncus ensifolius
Juncus mexicanus
Juncus oxymeris
Juncus phaeocephalus
Juncus rugulosus
Juncus saximontanus
Juncus textilis
Juncus torreyi
Juncus triformis
Juncus xiphioides
Lamium amplexicaule
Marrubium vulgare
Monardella breweri subsp. lanceolata
Monardella linoides subsp. oblonga
Salvia carduacea
Salvia columbariae
Ficus carica
Eucalyptus camaldulensis
Abronia pogonantha
Mirabilis laevis var. crassifolia
Mirabilis laevis var. villosa
Mirabilis multiflora var. pubescens
Forestiera pubescens
Fraxinus latifolia
Fraxinus latifolia X velutina
Fraxinus velutina
Olea europaea
Camissonia campestris subsp. campestris
Camissonia contorta
Camissonia kernensis subsp. gilmanii
Camissonia pusilla
Camissonia strigulosa
Camissoniopsis hirtella
Camissoniopsis pallida subsp. hallii
Camissoniopsis pallida subsp. pallida
Chylismia claviformis subsp. claviformis
Clarkia cylindrica subsp. clavicarpa
Clarkia cylindrica subsp. cylindrica
Clarkia heterandra
Clarkia purpurea subsp. purpurea
Clarkia purpurea subsp. quadrivulnera
Clarkia purpurea subsp. viminea
Clarkia rhomboidea
Clarkia speciosa subsp. polyantha
Clarkia speciosa subsp. speciosa
Clarkia tembloriensis subsp. calientensis
Clarkia unguiculata
Clarkia williamsonii
Clarkia xantiana subsp. xantiana
Epilobium brachycarpum
Epilobium ciliatum subsp. ciliatum
Epilobium ciliatum subsp. Glandulosum
Epilobium foliosum
Epilobium minutum
Eremothera boothii subsp. decorticans
Eulobus californicus
Gayophytum diffusum subsp. parviflorum
Oenothera californica subsp. avita
Oenothera californica subsp. californica
Oenothera deltoides subsp. cognata
Oenothera elata subsp. hookeri
Tetrapteron graciliflorum
Tetrapteron palmeri
Antirrhinum multiflorum
Collinsia bartsiifolia var. bartsiifolia
Collinsia bartsiifolia var. davidsonii
Collinsia callosa
Collinsia childii
Collinsia heterophylla var. heterophylla
Collinsia parviflora
Collinsia tinctoria
Keckiella breviflora var. breviflora
Keckiella breviflora var. glabrisepala
Keckiella ternata var. septentrionalis
Penstemon centranthifolius
Penstemon grinnellii var. scrophularioides
Penstemon incertus
Penstemon laetus var. laetus
Penstemon rostriflorus
